,title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
208,The Tudors,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2010,,82,Historical drama,17+
209,Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89.0,80,Crime drama Police procedural,14+
210,Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2005,90.0,80,"Drama, Fantasy, Supernatural fiction",
211,White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80,Police proceduralDrama,
212,House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80,"Political drama, Political thriller",17+
213,The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73.0,80,"Serial drama, Crime drama, Mystery",14+
214,Unconditional,PG-13,some violent content and mature thematic elements,80,2012,,82,drama,
215,The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80,"Crime drama, Action, Thriller, Mystery",14+
216,The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,73.0,80,Family dramaTeen drama,14+
217,Witches of East End,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,,82,Supernatural dramaFantasyComedy-drama,14+
218,Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,56.0,80,"Drama, Fantasy, Horror",17+
219,London Has Fallen,R,strong violence and language throughout,100,2016,96.0,80,"mystery,thriller,action",
220,Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,83.0,80,"Detective, Neo-noir, Psychological thriller, Superhero, Crime drama",17+
221,Bloodline,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,ThrillerDrama,17+
222,Velvet,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Drama,14+
223,The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.0,80,Historical drama,17+
