title,rating,ratingDescription,ratingLevel,release year,user rating score,user rating size,Genre,Age Restriction
Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,,82,Sitcom,14+
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92.0,80,,14+
Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Period drama,14+
5 to 7,R,some sexual material,100,2014,,82,romance,no restriction
Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,Documentary Documentary Documentary,17+
Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Mockumentary,14+
Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95.0,80,"Crime drama, Black comedy, Tragedy, Legal drama",17+
Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74.0,80,SitcomSatireComedy-drama,14+
Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,Sitcom,17+
Flaked,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,Comedy,17+
Master of None,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82,Comedy-drama,17+
Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,Talk show,17+
Abstract: The Art of Design,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,,82,Documentary,14+
Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Sitcom,14+
The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94.0,80,"Baking Reality Cooking, Baking Cooking, Baking Cooking, Baking",no restriction
Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68.0,80,Sitcom,14+
Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,,82,"Romantic comedy, Black comedy, Satire, Comedy-drama, Cringe comedy, Musical",14+
Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,"Comedy-drama, Mumblecore, Anthology",17+
No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Comic science-fictionRomantic fantasyFantasyComedy-drama,14+
Minimalism: A Documentary About the Important Things,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,,82,,no restriction
Hot Girls Wanted: Turned On,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,,17+
Win It All,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,comedy,17+
MerlÃ?,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,,82,,no restriction
Amy Schumer: The Leather Special,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,,17+
Louis C.K. 2017,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,71.0,80,,17+
Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94.0,80,Stand-uptelevisionfilm Observational comedysurreal humorsketch comedyblack comedyinsult comedysatire American politicsAfrican-American culturepop cultureracismrace relationsrecreational drug usecurrent eventshuman sexuality,17+
Almost Adults,NR,This movie has not been rated.,124,2016,,82,"drama,comedy",no restriction
The Brothers,R,strong sexual content and language,100,2001,,82,,no restriction
Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,,82,Teen drama Comedy-drama,17+
The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80,Animated sitcom,14+
Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,59.0,80,Sitcom,14+
Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73.0,80,Sitcom,14+
Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,,82,romance,14+
Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80,Animated sitcom,17+
BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,"Adult animation, Animated sitcom, Tragicomedy, Black comedy, Surreal humor, Comedy-drama, Satire",17+
Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,,14+
Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,Sitcom,14+
Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86.0,80,Animated sitcom,14+
Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80,"Comedy-drama, Romantic comedy, Telenovela, Satire",14+
Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79.0,80,Documentary,no restriction
The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69.0,80,Sitcom,14+
November Rule,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82,romance,14+
Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58.0,80,Comedy,14+
Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96.0,80,"animation,fantasy,kids,family,action,adventure",no restriction
Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,,82,Teen drama Comedy-drama,17+
A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,comedy,17+
Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,Comedy horror,17+
Queen of Katwe,PG,"thematic elements, an accident scene and some suggestive material",60,2016,,81,"drama,biography",no restriction
Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,61.0,80,"drama,comedy",14+
Deidra & Laney Rob a Train,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,,82,,14+
Hurricane Bianca,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,comedy,17+
Honeytrap,NR,This movie has not been rated.,124,2014,,82,"crime,romance,drama",no restriction
Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80,DramaMystery,14+
Lazy Eye,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,"romance,drama",17+
Like Cotton Twines,NR,This movie has not been rated.,124,2016,,82,drama,no restriction
The Wedding Party,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,,82,"drama,comedy",14+
Boy Bye,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,,82,romance,17+
Nancy Drew,PG,Parental guidance suggested. May not be suitable for children.,60,2007,,82,"kids,family,mystery,thriller,adventure",no restriction
Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,82.0,80,Medical dramaDark comedyComedy-drama,17+
Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,,82,"Comedy-drama, Fantasy, Legal Drama",no restriction
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91.0,80,Comedy-drama,14+
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79.0,80,"drama,comedy",14+
Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,55.0,80,Teen drama,no restriction
Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,58.0,80,,14+
The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,,82,"Teen drama, Comedy-drama, Period drama",14+
Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80.0,80,Sitcom,14+
The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100,2014,,82,"drama,comedy",17+
Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81.0,80,"Science fiction, Drama",17+
